ID;IDtool;src;orig_name;rectified_name;use;norm_in;norm_out;comment;description
1;1;catch22;DN_HistogramMode_5;mode5;TRUE;_dont_care;;input implicitely z-scored;Return the location of the bin with the most counts. z-scored, 5 bins
2;2;catch22;DN_HistogramMode_10;mode10;TRUE;_dont_care;;input implicitely z-scored;Return the location of the bin with the most counts. z-scored, 10 bins
3;3;catch22;DN_OutlierInclude_p_001_mdrmd;outlier_timing_pos;TRUE;_dont_care;;input implicitely z-scored;whether positive over-threshold events tend to be near the start (output values near -1), approximately equally likely to be anywhere through the time series (output values near 0), or more likely  near the end (output values near 1)
4;4;catch22;DN_OutlierInclude_n_001_mdrmd;outlier_timing_neg;TRUE;_dont_care;;input implicitely z-scored;whether negative over-threshold events tend to be near the start (output values near -1), approximately equally likely to be anywhere through the time series (output values near 0), or more likely  near the end (output values near 1)
5;5;catch22;CO_f1ecac;acf_timescale;TRUE;_dont_care;;input implicitely z-scored, orig_name renamed from first1e_acf_tau;the first time lag at which the autocorrelation function drops below 1/e (= 0.3679). captures scale
6;6;catch22;CO_FirstMin_ac;acf_first_min;TRUE;_dont_care;;input implicitely z-scored, orig_name renamed from firstMin_acf;irst minimum of the autocorrelation function
7;7;catch22;SP_Summaries_welch_rect_area_5_1;low_freq_power;TRUE;_dont_care;;input implicitely z-scored;Power in lowest 20% frequencies 
8;8;catch22;SP_Summaries_welch_rect_centroid;centroid_freq;TRUE;_dont_care;;input implicitely z-scored;Centroid frequency, frequency, , at which the amount of power in frequencies low and higher than  is the same
9;9;catch22;FC_LocalSimple_mean3_stderr;forecast_error;TRUE;_dont_care;;input implicitely z-scored;Error of 3-point rolling mean forecast
10;10;catch22;FC_LocalSimple_mean1_tauresrat;whiten_timescale;TRUE;_dont_care;;input implicitely z-scored;Change in autocorrelation timescale after incremental differencing. noisier signals will have low ratio
11;11;catch22;MD_hrv_classic_pnn40;high_fluctuation;TRUE;_dont_care;;input implicitely z-scored;Proportion of high incremental changes in the series. low values to series that have periods in which the series stays approximately constantand high values to series that 'jump around alot'
12;12;catch22;SB_BinaryStats_mean_longstretch1;stretch_high;TRUE;_dont_care;;input implicitely z-scored;Longest stretch of above-mean values
13;13;catch22;SB_BinaryStats_diff_longstretch0;stretch_decreasing;TRUE;_dont_care;;input implicitely z-scored;Longest stretch of decreasing values
14;14;catch22;SB_MotifThree_quantile_hh;entropy_pairs;TRUE;_dont_care;;input implicitely z-scored;Entropy of successive pairs in 3-symbolized series
15;15;catch22;CO_HistogramAMI_even_2_5;ami2;TRUE;_dont_care;;input implicitely z-scored;Histogram-based automutual information (lag 2, 5 bins) using a nonlinear correlation metric (mutual information) using histogram with 5 bins and time delay 2
16;16;catch22;CO_trev_1_num;trev;TRUE;_dont_care;;input implicitely z-scored;Time reversibility. will be positive if increases tend to be larger in magnitude and negative if decreases tend to be larger in magnitude.
17;17;catch22;IN_AutoMutualInfoStats_40_gaussian_fmmi;ami_timescale;TRUE;_dont_care;;input implicitely z-scored;First minimum of the AMI function
18;18;catch22;SB_TransitionMatrix_3ac_sumdiagcov;transition_variance;TRUE;_dont_care;;input implicitely z-scored;measure of the specificity of source states given a target state. minimum value for noisy series with approximaltely uniform transition probabilities, maximum value for highly ordered series with very specific state transition rules
19;19;catch22;PD_PeriodicityWang_th0_01;periodicity;TRUE;_dont_care;;input implicitely z-scored, renamed orig_name from PD_PeriodicityWang_th001;Wang's periodicity metric. first peak in the autocorrelation function satisfying a set of conditions (after detrending the time series using a single-knot cubic regression spline).
20;20;catch22;CO_Embed2_Dist_tau_d_expfit_meandiff;embedding_dist;TRUE;_dont_care;;input implicitely z-scored;Goodness of exponential fit to embedding distance distribution. It will give low values to time series where the probability distribution of the distance between consecutive time-series values in the 2-d embedding space is well approximated by an exponential distribution.
21;21;catch22;SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1;rs_range;TRUE;_dont_care;;input implicitely z-scored,;Rescaled range fluctuation analysis (low-scale scaling)
22;22;catch22;SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1;dfa;TRUE;_dont_care;;input implicitely z-scored;Detrended fluctuation analysis (low-scale scaling)
23;23;catch22;DN_Mean;mean;TRUE;norm_maxabs;;;mean
24;24;catch22;DN_Spread_Std;std;TRUE;norm_maxabs;;;standard deviation
25;1;kats;y_acf1;acf1;TRUE;z_score;;;first ACF value of the original series
26;2;kats;y_acf5;acf5_squared_sum;TRUE;z_score;;;sum of squares of first 5 ACF values of original series
27;3;kats;diff1y_acf1;diff1_acf1;TRUE;z_score;;;first ACF value of the differenced series
28;4;kats;diff1y_acf5;diff1_acf5_squared_sum;TRUE;z_score;;;sum of squares of first 5 ACF values of differenced series
29;5;kats;diff2y_acf1;diff2_acf1;TRUE;z_score;;;first ACF value of the twice-differenced series
30;6;kats;diff2y_acf5;diff2_acf5_squared_sum;TRUE;z_score;;;sum of squares of first 5 ACF values of twice-differenced series
31;7;kats;y_pacf5;pacf5_squared_sum;TRUE;z_score;;;sum of squares of first 5 PACF values of original series
32;8;kats;diff1y_pacf5;diff1_pacf5_squared_sum;TRUE;z_score;;;sum of squares of first 5 PACF values of differenced series
33;9;kats;diff2y_pacf5;diff2_pacf5_squared_sum;TRUE;z_score;;;sum of squares of first 5 PACF values of twice-differenced series
34;12;kats;bocp_num;bocp_num;TRUE;_dont_care;;;number of changepoints, bayesian online change point detection, i.e. it tells us when the time series shows a change
35;13;kats;bocp_conf_max;bocp_conf_max;TRUE;_dont_care;;;changepoint detection, max conf interval
36;14;kats;bocp_conf_mean;bocp_conf_mean;TRUE;_dont_care;;;changepoint detection, mean conf interval
37;23;kats;holt_alpha;holt_alpha;TRUE;_dont_care;;;Level parameter of the Holt model (Exponential Smoothing)
38;24;kats;holt_beta;holt_beta;TRUE;_dont_care;;;Trend parameter of the Holt model. (Expoinential Smoothing)
39;38;kats;robust_num;rcp_num;TRUE;_dont_care;;;Number changepoints detected by the Robust Stat Detector.
